baseline_variant,model,batch_size,sequence_length,latency_ms,throughput_images_s,throughput_tokens_s,energy_j,flow_buffer_peak_frac,flow_buffer_peak_frac_status,repeat_count
FULLER,mobilevit_s,1,256,0.9641667039999999,1037.1650419490113,265514.2507389469,0.050758124678606215,1.0,derived_from_trace,1
FULLER,mobilevit_s,2,128,1.434258476,1394.4487925062122,178489.44544079516,0.06947546952333017,1.0,derived_from_trace,1
FULLER,mobilevit_s,2,197,1.6891827510000001,1184.0045127242718,233248.88900668154,0.08575891845525206,1.0,derived_from_trace,1
FULLER,mobilevit_s,2,256,1.91895723,1042.2327130240417,266811.5745341547,0.10071115781592753,1.0,derived_from_trace,1
FULLER,mobilevit_s,4,128,2.859142521,1399.0208499998032,179074.6687999748,0.13814584750778974,1.0,derived_from_trace,1
FULLER,mobilevit_s,4,197,3.376410387,1184.6901121383146,233383.95209124795,0.1713600883167937,1.0,derived_from_trace,1
FULLER,mobilevit_s,4,256,3.828935427,1044.6767975750456,267437.2601792117,0.20065206854210882,1.0,derived_from_trace,1
FULLER,mobilevit_xs,1,128,0.36369786699999995,2749.5349594667823,351940.47481174814,0.014145627373976963,1.0,derived_from_trace,1
FULLER,mobilevit_xs,1,197,0.41869473,2388.3749384665052,470509.8628779015,0.017258029461263123,1.0,derived_from_trace,1
FULLER,mobilevit_xs,1,256,0.466219216,2144.9137351730265,549097.9162042948,0.019963006894339927,1.0,derived_from_trace,1
FULLER,mobilevit_xs,2,128,0.724371855,2761.01285023008,353409.64482945023,0.028039896153670488,1.0,derived_from_trace,1
FULLER,mobilevit_xs,2,197,0.832936219,2401.1442345503287,473025.4142064147,0.03414036297451013,1.0,derived_from_trace,1
FULLER,mobilevit_xs,2,256,0.927947479,2155.2943946302807,551755.3650253519,0.03954664292531013,1.0,derived_from_trace,1
FULLER,mobilevit_xs,4,128,1.4442533169999998,2769.597239567912,354508.4466646927,0.05570042146811448,1.0,derived_from_trace,1
FULLER,mobilevit_xs,4,197,1.661206623,2407.888305174425,474353.9961193617,0.0678861787603571,1.0,derived_from_trace,1
FULLER,mobilevit_xs,4,256,1.84981214,2162.381743261778,553569.7262750152,0.0785758304191909,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,1,128,0.10957504,9126.165958962918,1168149.2427472535,0.004132039808867418,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,1,197,0.131212212,7621.241839898257,1501384.6424599567,0.005158563735728836,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,1,256,0.150028956,6665.379981714997,1706337.2753190391,0.006063943554734614,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,2,128,0.21616061999999997,9252.379087365684,1184304.5231828075,0.008015885534476158,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,2,197,0.260086261,7689.7564381534185,1514882.0183162233,0.010125555486647175,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,2,256,0.298294429,6704.784955940293,1716424.948720715,0.011986233815915518,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,4,128,0.43055471,9290.340825675788,1189163.625686501,0.01589011771262624,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,4,197,0.517831186,7724.525111934839,1521731.4470511633,0.020059538906396914,1.0,derived_from_trace,1
FULLER,mobilevit_xxs,4,256,0.594177162,6731.998898335309,1723391.717973839,0.023774532441415377,1.0,derived_from_trace,1
